S.No,Character,Voice actor(s),Character's role,Episode debut,Original air date
46,Francesca,Maria Grazia Cucinotta[2],Sideshow Bob's Italian wife.,"""The Italian Bob""",2005-12-11
47,Frankie the Squealer,Dan Castellaneta[11],Informant for Fat Tony.[19],"""Insane Clown Poppy""",2000-11-12
48,Professor John Frink,Hank Azaria[2],"Scientist, inventor.","""Old Money""",1991-03-28
49,Baby Gerald,Unvoiced,One-eyebrowed baby. Arch-nemesis of Maggie Simpson.,"""Sweet Seymour Skinner's Baadasssss Song""",1994-04-28
50,Ginger Flanders,Tress MacNeille[10],Ned Flanders's "Vegas wife."[20],"""Viva Ned Flanders""",1999-01-10
51,Gino Terwilliger,Tress MacNeille[10],Sideshow Bob's toddler son.,"""The Italian Bob""",2005-12-11
52,Alice Glick,"Cloris Leachman,[21]Tress MacNeille",Elderly.,"""Three Men and a Comic Book""",1991-05-09
53,Gloria Jailbird,Julia Louis-Dreyfus,Snake's pregnant girlfriend.,"""A Hunka Hunka Burns in Love""",2001-12-02
54,Barney Gumble,Dan Castellaneta[2],Homer's drunken old pal.,"""Simpsons Roasting on an Open Fire""",1989-12-17
55,Gil Gunderson,Dan Castellaneta[13],Unsuccessful salesman.,"""Realty Bites""",1997-12-07
56,The Happy Little Elves,"Dan Castellaneta,[11] Hank Azaria,[11] and Harry Shearer[22]",Children's cartoon series characters.,"""Simpsons Roasting on an Open Fire""",1989-02-12
57,Judge Constance Harm,Jane Kaczmarek,Springfield judge.,"""The Parent Rap""",2001-11-11
58,Herman Hermann,Harry Shearer[7],Owner of Herman's Military Antiques shop.[23],"""Bart the General""",1990-02-04
59,Bernice Hibbert,Tress MacNeille[10],Dr. Hibbert's wife.,"""Bart's Dog Gets an ""F""""",1991-03-07
60,Dr. Julius Hibbert,Harry Shearer[7],Medical doctor.,"""Bart the Daredevil""",1990-12-06
61,Elizabeth Hoover,Maggie Roswell[7],Lisa Simpson's teacher at Springfield Elementary School.,"""Brush with Greatness""",1991-04-11
62,Lionel Hutz,Phil Hartman[24],Attorney.,"""Bart Gets Hit by a Car""",1991-01-10
63,Itchy & Scratchy,Dan Castellaneta[2] and Harry Shearer[7],Cartoon cat and mouse.,"""There's No Disgrace Like Home""[25]",1988-11-20
64,Jacques,Albert Brooks[26],Bowling instructor.[27],"""Life on the Fast Lane""",1990-03-18
65,Jimbo Jones,Pamela Hayden[7],Springfield Elementary School bully.,"""The Telltale Head""",1990-02-25
66,Rachel Jordan,Shawn Colvin[28],Lead singer of the Christian Rock band Kovenant.[29],"""Alone Again, Natura-Diddily""",2000-02-13
67,Kang and Kodos,Harry Shearer[7] and Dan Castellaneta[2],Extraterrestrials.,"""Treehouse of Horror""",1990-10-25
68,Princess Kashmir,Maggie Roswell[7],Belly dancer.[30],"""Homer's Night Out""",1990-03-25
69,Edna Krabappel,Marcia Wallace[7],"Bart Simpson's teacher at Springfield Elementary School (until season 25), and Ned Flanders wife (Seasons 23-25, when the character is revealed to have died).[31]","""Bart the Genius""",1990-01-14
70,Rabbi Hyman Krustofski,Jackie Mason and Dan Castellaneta,Rabbi; father of Krusty the Clown.[32],"""Like Father, Like Clown""",1991-10-24
71,Krusty the Clown,Dan Castellaneta[2],"TV show clown host, original name Herschel Shmoikel Pinchas Yerucham Krustofski.[33]","""The Telltale Head""",1989-01-15
72,Cookie Kwan,Tress MacNeille[10],Real estate agent.[34],"""Realty Bites""",1997-12-07
73,Dewey Largo,Harry Shearer[7],Springfield Elementary School's music teacher.,"""Simpsons Roasting on an Open Fire""",1989-12-17
74,Legs and Louie,Hank Azaria[2] and Dan Castellaneta[2],Fat Tony's henchmen.,"""Bart the Murderer""",1991-10-10
75,Leopold,Dan Castellaneta[7],Superintendent Chalmers' assistant.,"""Sweet Seymour Skinner's Baadasssss Song""",1994-04-28
76,Lenny Leonard,Harry Shearer[7],Springfield Nuclear Power Plant employee; one of Homer Simpson's friends.,"""Life on the Fast Lane""",1990-03-18
77,Lewis Clark,Russi Taylor[7],Student at Springfield Elementary School.,"""Simpsons Roasting on an Open Fire""",1989-12-17
78,Helen Lovejoy,Maggie Roswell[7],Reverend Lovejoy's wife.,"""Life on the Fast Lane""",1990-03-18
79,Reverend Timothy Lovejoy,Harry Shearer[7],Minister of the First Church of Springfield.,"""The Telltale Head""",1990-02-25
80,Coach Lugash,Dan Castellaneta[11],Gymnastics instructor.[35],"""Children of a Lesser Clod""",2001-05-13
81,Lurleen Lumpkin,"Beverly D'Angelo,[36] Doris Grau[7]",Country music singer-songwriter.,"""Colonel Homer""",1992-03-26
82,Otto Mann,Harry Shearer[7],Springfield Elementary School bus driver.,"""Homer's Odyssey""",1990-01-21
83,Captain Horatio McCallister,Hank Azaria[2],Sea captain.,"""New Kid on the Block""",1992-11-12
84,"Roger Meyers, Jr.","Alex Rocco,[37] Dan Castellaneta[2]",Chairman of Itchy & Scratchy International.,"""Itchy & Scratchy & Marge""",1990-12-20
85,Troy McClure,Phil Hartman[38],Actor.,"""Homer vs. Lisa and the 8th Commandment""",1991-02-07
86,Hans Moleman,Dan Castellaneta[2],Misfortunate man.,"""Principal Charming""",1991-02-14
87,Dr. Marvin Monroe,Harry Shearer[7],Psychotherapist.,"""There's No Disgrace Like Home""",1990-01-28
88,Nelson Muntz,Nancy Cartwright,Bully.,"""Bart the General""",1990-02-04
89,Captain Lance Murdock,Dan Castellaneta[2],Daredevil.,"""Bart the Daredevil""",1990-12-06
90,Bleeding Gums Murphy,Ron Taylor[39],Blues musician.[40],"""Moaning Lisa""",1990-02-11
91,Lindsey Naegle,Tress MacNeille[10],Corporate executive.,"""The Itchy & Scratchy & Poochie Show""",1997-02-09
92,Apu Nahasapeemapetilon,Hank Azaria[2],Operator of the Kwik-E-Mart.,"""The Telltale Head""",1990-02-25
93,Manjula Nahasapeemapetilon,Jan Hooks(1997-2002) Tress MacNeille (2014-present)[41],Apu Nahasapeemapetilon's wife.,"""Much Apu About Nothing""",1997-11-16
94,Sanjay Nahasapeemapetilon,Harry Shearer[10],Apu Nahasapeemapetilon's older brother.,"""Dog of Death""",1997-11-16
95,Jake[42],"Dan Castellaneta,[42] Harry Shearer[22]",Barber.,"""Simpson and Delilah""",1987-11-15
96,Old Jewish Man,Hank Azaria[13],Springfield Retirement Castle resident.,"""Krusty Gets Kancelled""",1993-05-13
97,Patches and Poor Violet,Pamela Hayden[10] and Tress MacNeille[10],Orphans.[43],"""Miracle on Evergreen Terrace""",1997-12-21
98,Arnie Pye,Dan Castellaneta[2],Channel 6 helicopter reporter.,"""Homer Alone""",1992-02-06
99,Herbert Powell,Danny DeVito[44],Homer Simpson's half-brother.[45],"""Oh Brother, Where Art Thou?""",1991-02-21
100,Janey Powell,Pamela Hayden[7],Student at Springfield Elementary School.,"""Moaning Lisa""",1990-02-04
101,Ruth Powers,Pamela Reed[46],The Simpsons' next door neighbor.[47],"""New Kid on the Block""",1992-11-12
